"DGRP line","b0_female","b1_female","CTmax_female","z_female","b0_male","b1_male","CTmax_male","z_male"
"DGRP-129",20.2721,-0.5028,40.3184,1.9889,18.0297,-0.4433,40.6716,2.2558
"DGRP-195",14.6139,-0.3438,42.507,2.9087,11.6583,-0.2689,43.3555,3.7189
"DGRP-313",19.162,-0.4679,40.9532,2.1372,17.5681,-0.4288,40.9704,2.3321
"DGRP-324",14.9784,-0.3564,42.0269,2.8058,12.6555,-0.2953,42.8564,3.3864
"DGRP-338",14.9522,-0.3545,42.1783,2.8209,6.6775,-0.1372,48.6698,7.2886
"DGRP-361",15.1136,-0.3627,41.6697,2.7571,12.3149,-0.2888,42.6416,3.4626
"DGRP-380",11.5306,-0.2648,43.5446,3.7764,10.6188,-0.2428,43.7348,4.1186
"DGRP-385",15.5555,-0.3694,42.1102,2.7071,14.7397,-0.3507,42.0294,2.8514
"DGRP-399",14.7827,-0.3524,41.9486,2.8377,8.8619,-0.1919,46.1798,5.211
"DGRP-426",12.9589,-0.3008,43.0814,3.3245,10.6143,-0.2395,44.3186,4.1754
"DGRP-440",18.5307,-0.446,41.5487,2.2422,12.475,-0.2851,43.7566,3.5075
"DGRP-441",14.7871,-0.3473,42.5773,2.8794,11.9565,-0.272,43.9577,3.6765
"DGRP-555",14.1634,-0.3351,42.2662,2.9842,13.8435,-0.3267,42.3737,3.0609
"DGRP-57",13.6181,-0.3196,42.6098,3.1289,12.3415,-0.286,43.1521,3.4965
"DGRP-712",16.727,-0.4054,41.2605,2.4667,13.812,-0.3256,42.4201,3.0713
"DGRP-732",16.8498,-0.4056,41.5429,2.4655,12.5154,-0.291,43.0082,3.4364
"DGRP-843",16.6972,-0.4065,41.0755,2.46,19.0397,-0.4665,40.8139,2.1436
"DGRP-849",16.4161,-0.3931,41.7606,2.5439,12.6658,-0.292,43.376,3.4247
"DGRP-88",12.9632,-0.3024,42.8677,3.3069,14.0547,-0.3321,42.3207,3.0111
"DGRP-892",15.8979,-0.3789,41.958,2.6392,12.1555,-0.2809,43.2734,3.56
