"","Female_estimate","Females_Jacknife","Females_low_95%_CI","Females_up_95%_CI","Males_estimate","Males_Jacknife","Males_low_95%_CI","Males_up_95%_CI","Method"
"Var_b0F",4.61151676186193,4.61151676186223,1.49723536428263,7.72579815944183,8.51370552986558,8.51370552986519,2.16497168209613,14.8624393776343,"Anova"
"Var_b1F",0.00334910240624306,0.00334910240624327,0.00104431752777684,0.0056538872847097,0.0061929658011027,0.00619296580110243,0.00161076678363736,0.0107751648185675,"Anova"
"Cov_b0F_b1F",-0.124157944178994,-0.124157944179003,-0.208805189472823,-0.0395106988851822,-0.22952418389782,-0.22952418389781,-0.400045218563043,-0.0590031492325762,"Anova"
"Var_eF",0.0253234531463324,0.025349817782309,0.0174162117937746,0.0332834237708434,0.0225888258571404,0.022625716296302,0.016258299049538,0.0289931335430661,"Anova"
"Var_CTmaxF",0.627647881742249,0.636560741067776,0.168601228400376,1.10452025373518,2.2910324433964,2.29522898347787,0.81087093031878,3.77958703663695,"Anova"
"Var_zF",0.177251487612847,0.178170026633943,0.0619130896371183,0.294426963630769,0.741910300213418,0.733917272326831,0.182959870026995,1.28487467462667,"Anova"
"H2_CTmaxF",0.777397652481547,0.785243739000848,0.713834775389704,0.856652702611992,0.75486238884033,0.75390638241214,0.707688973025386,0.800123791798895,"Anova"
"H2_zF",0.219541711805978,0.212209905433741,0.142224890460506,0.282194920406977,0.244448821813322,0.245497043810986,0.198955383415326,0.292038704206646,"Anova"
"Var_b0F1",3.632177142,3.81412355633001,0.871551330574524,6.75669578208549,7.511010182,7.92595519669999,1.96100925319486,13.8909011402051,"ML"
"Var_b1F1",0.002667472,0.00280464107500001,0.000611320696992188,0.00499796145300782,0.005477584,0.00578147,0.00147229443534794,0.0100906455646521,"ML"
"Cov_b0F_b1F1",-0.098332909796388,-0.103145499644592,-0.183392225634889,-0.0228987736542957,-0.202835369677861,-0.214073264053473,-0.374372821708162,-0.0537737063987834,"ML"
"Var_eF1",0.0253422127389098,0.0253789893637278,0.0174350042369076,0.033322974490548,0.022590898327469,0.0226288467298505,0.0162622808103144,0.0289954126493867,"ML"
"Var_CTmaxF1",0.54484440618729,0.69968725149853,0.213543455931602,1.18583104706546,1.98406373962498,2.09644842478682,0.709806553777369,3.48309029579627,"ML"
"Var_zF1",0.142060942742216,0.150938854186464,0.0394410624142122,0.262436645958716,0.657860843033365,0.687467114458575,0.171173372786177,1.20376085613097,"ML"
"H2_CTmaxF1",0.790341745078844,0.837939234293299,0.747602261632729,0.928276206953869,0.750397987436396,0.749360494019487,0.698831816644545,0.799889171394429,"ML"
"H2_zF1",0.206071113366324,0.16020136855276,0.0719265980300174,0.248476139075502,0.24881128703998,0.250015060012961,0.199128016610516,0.300902103415406,"ML"
"Var_b0F2",3.860730015,3.81285914336,0.70736570823897,6.91835257848103,7.936582068,7.9260661779,1.62732237605722,14.2248099797428,"REML"
"Var_b1F2",0.002833413,0.002803549465,0.000489448237354036,0.00511765069264596,0.005787226,0.0057816571,0.00123133244342091,0.0103319817565791,"REML"
"Cov_b0F_b1F2",-0.104485302112167,-0.103201523696044,-0.187851313561947,-0.0185517338301401,-0.214314710021818,-0.214078814925299,-0.383348780659657,-0.0448088491909399,"REML"
"Var_eF2",0.0253406054103181,0.0253781461555392,0.0174349982770355,0.0333212940340428,0.0225906900361858,0.0226286141167484,0.0162619585782287,0.0289952696552681,"REML"
"Var_CTmaxF2",0.576064333459134,0.64208275779517,0.134724978080427,1.14944053750991,2.09432627272032,2.09653899181235,0.632621095039798,3.56045688858491,"REML"
"Var_zF2",0.150862781081193,0.150938426425908,0.0333362484545746,0.268540604397242,0.694960939766575,0.687066681642673,0.141778653171182,1.23235471011416,"REML"
"H2_CTmaxF2",0.789778513760078,0.817632917514233,0.741603295574566,0.8936625394539,0.750284038949453,0.749376059364988,0.699063123902993,0.799688994826982,"REML"
"H2_zF2",0.206831383412612,0.180100561071974,0.106358527904291,0.253842594239657,0.248966986468112,0.249989626413163,0.199339418606478,0.300639834219848,"REML"
